1 interviewerTlsg06:  well eh could you tell us first of eh where you were born please  DORM: 1.86, DORM-UIDO:1.31,
52 informantTlsg06a:  and i just was at home  DORM: 1.11, DORM-UIDO:0.51,
53 interviewerTlsg06:  aye  DORM: 0.00, DORM-UIDO:0.00,
54 informantTlsg06a:  because my mother was poorly and i was always kept at home  DORM: 1.84, DORM-UIDO:1.14,
55 interviewerTlsg06:  yes  DORM: 0.00, DORM-UIDO:0.00,
56 informantTlsg06a:  but i've always gone out looking after people that's been poorly  DORM: 1.93, DORM-UIDO:1.21,
57 interviewerTlsg06:  yeah  DORM: 0.00, DORM-UIDO:0.00,
58 informantTlsg06a:  sort of like a home help you know  DORM: 1.26, DORM-UIDO:0.63,
59 interviewerTlsg06:  yes that's like working for the more or less for the co  corp   for the corporation as it were  DORM: 2.32, DORM-UIDO:1.49,
60 informantTlsg06a:  no i just for myself  DORM: 0.84, DORM-UIDO:0.04,
61 interviewerTlsg06:  just oh i see yes uhhuh  DORM: 3.67, DORM-UIDO:0.93,
62 informantTlsg06a:  i used to look after my two daughters when they were out at work i used to try and help them cook and clean and that for them  DORM: 1.48, DORM-UIDO:0.93,
63 interviewerTlsg06:  yes  DORM: 0.00, DORM-UIDO:0.00,
64 informantTlsg06a:  oh i've always found housework all right  DORM: 2.79, DORM-UIDO:1.31,
65 interviewerTlsg06:  yes yeah [pause]  eh [pause]  you were eh fourteen when you left school is that right  DORM: 3.19, DORM-UIDO:2.62,
66 informantTlsg06a:  yes  DORM: 0.00, DORM-UIDO:0.00,
67 interviewerTlsg06:  yeah eh do you think you were glad to leave school at the time or not  DORM: 2.08, DORM-UIDO:1.51,
68 informantTlsg06a:  well i was  DORM: 0.66, DORM-UIDO:0.44,
69 interviewerTlsg06:  yes did you not enjoy it very much  DORM: 1.25, DORM-UIDO:0.65,
70 informantTlsg06a:  well i liked school but it was getting enough because i was so long in the last class i was sick of it  DORM: 1.91, DORM-UIDO:1.42,
71 interviewerTlsg06:   yeah yeah  DORM: 0.00, DORM-UIDO:0.00,
72 informantTlsg06a:  there was nothing like what they have now for them in in my day when we were at school  DORM: 0.99, DORM-UIDO:0.77,
73 interviewerTlsg06:  aye do you think eh education's better these days  DORM: 3.49, DORM-UIDO:2.00,
74 informantTlsg06a:  well it is oh yes education's better  DORM: 3.81, DORM-UIDO:2.12,
75 interviewerTlsg06:  mm  DORM: 0.00, DORM-UIDO:0.00,
76 informantTlsg06a:  well there's nothing else for them there's no work or anything you know they've just got to stop at school  DORM: 0.96, DORM-UIDO:0.75,
77 interviewerTlsg06:  mmhm yes do you think it's ehm like a fairly good idea for children to stay on at school you know after  [unclear]   DORM: 2.78, DORM-UIDO:1.07,
78 informantTlsg06a:  oh yes yes because they're just running the streets wild  DORM: 1.89, DORM-UIDO:1.20,
79 interviewerTlsg06:  yes yes  DORM: 0.00, DORM-UIDO:0.00,
80 informantTlsg06a:  i've a grandson goes to saint cuthbert's grammar school  DORM: 5.08, DORM-UIDO:3.44,
81 interviewerTlsg06:  oh aye that's where i used to go to school  DORM: 2.22, DORM-UIDO:1.34,
82 informantTlsg06a:  uhhuh two that's eh arthur was at saint cuthbert's grammar school that's that's two grandsons i've had there  DORM: 4.50, DORM-UIDO:2.13,
83 interviewerTlsg06:  yeah  DORM: 0.00, DORM-UIDO:0.00,
84 informantTlsg06a:  this last one he's finished his exams and he's just waiting for the results now  DORM: 1.95, DORM-UIDO:1.07,
85 interviewerTlsg06:  oh aye what ex  are they o level exams  DORM: 2.00, DORM-UIDO:1.30,
86 informantTlsg06a:  uhhuh  DORM: 0.00, DORM-UIDO:0.00,
87 interviewerTlsg06:  uhhuh yes  DORM: 0.00, DORM-UIDO:0.00,
88 informantTlsg06a:  they have to wait that long  [unclear]  get them  DORM: 2.32, DORM-UIDO:1.32,
89 interviewerTlsg06:  oh yes it's about august sometime isn't it  DORM: 2.56, DORM-UIDO:1.60,
90 informantTlsg06a:  aye because he's eh if he hasn't passed his exams he'll not get back to school  DORM: 1.92, DORM-UIDO:0.67,
91 interviewerTlsg06:  that's right yeah yes yeah yes mm  DORM: 2.16, DORM-UIDO:1.20,
92 informantTlsg06a:  but his father's going to send him for college education  DORM: 1.98, DORM-UIDO:1.27,
93 interviewerTlsg06:  yes do you think ehm do you think there's anything wrong with schools now you know do you is there any way in which they've got worse since you went to school  DORM: 2.11, DORM-UIDO:1.23,
94 informantTlsg06a:  well not worse they're getting better  DORM: 1.22, DORM-UIDO:0.64,
95 interviewerTlsg06:  yes  DORM: 0.00, DORM-UIDO:0.00,
96 informantTlsg06a:  you get better education and everything now  DORM: 1.26, DORM-UIDO:0.58,
97 interviewerTlsg06:  yes you don't think ehm well discipline in schools for instance now do you think there's anything wrong with it  DORM: 2.42, DORM-UIDO:1.22,
98 informantTlsg06a:  well they've got to use a certain amount of discipline to keep them under  DORM: 1.34, DORM-UIDO:0.71,
99 interviewerTlsg06:  yes  DORM: 0.00, DORM-UIDO:0.00,
100 informantTlsg06a:  but now a days if you you see the teachers are frightened to do anything about children because they go to their mothers and then there's such a [unclear]   DORM: 1.61, DORM-UIDO:0.80,
101 interviewerTlsg06:  yes [pause]  most people think they're not strict enough  [unclear]  these days [unclear]   DORM: 2.41, DORM-UIDO:1.48,
102 informantTlsg06a:  that's right oh that's right they're not  DORM: 1.31, DORM-UIDO:0.74,
103 interviewerTlsg06:  you know eh looking back on your own education you know would you say that eh it had been worth very much to you in your life since you left school or  not particularly  DORM: 1.73, DORM-UIDO:1.22,
104 informantTlsg06a:  no it hasn't been much value to me you know that when i was left school you had to go straight to work that was the idea then because you had to help your family they were bringing bigger families up you see you had the next ones coming on  DORM: 1.88, DORM-UIDO:1.56,
105 interviewerTlsg06:  aye  DORM: 0.00, DORM-UIDO:0.00,
106 informantTlsg06a:  he's eating it  no he's not  DORM: 1.35, DORM-UIDO:0.38,
107 interviewerTlsg06:  actually he's playing with it i think  DORM: 1.28, DORM-UIDO:0.47,
108 informantTlsg06a:  it's a strawberry   DORM: 2.50, DORM-UIDO:0.05,
109 interviewerTlsg06:  cracker can't decide whether it's the sort of thing you eat or not [unclear]  eh w  you were living in newcastle when you were fairly young yourself like when you were under twelve  DORM: 2.41, DORM-UIDO:1.73,
110 informantTlsg06a:  well i never come to gateshead til i was eh i was [pause]  well i was eh our joe was just a baby when i came here to live and he's eh what is he now  DORM: 2.55, DORM-UIDO:1.41,
111 informantTlsg06c:  be about fifty years ago i'd say  DORM: 1.85, DORM-UIDO:1.04,
112 informantTlsg06a:  he's fifty fifty fifty four  fifty three aye two year old [unclear]   DORM: 2.38, DORM-UIDO:1.64,
113 informantTlsg06c:  nineteen twenty when [unclear]  came here [unclear]   DORM: 1.75, DORM-UIDO:0.81,
114 interviewerTlsg06:  did you eh did you think that it was a good place to live from your point of view as a child like did you  enjoy your childhood there  DORM: 1.63, DORM-UIDO:1.14,
115 informantTlsg06a:  oh no it was they were real slums then  DORM: 2.93, DORM-UIDO:1.61,
116 interviewerTlsg06:  aye  DORM: 0.00, DORM-UIDO:0.00,
117 informantTlsg06a:  and the they they were real slums and they're just going back now to the three storey buildings you know we lived in a three storey  DORM: 2.97, DORM-UIDO:1.93,
118 interviewerTlsg06:  that's right aye  DORM: 2.95, DORM-UIDO:1.35,
119 informantTlsg06a:  there was s  six three on that side and three on this side and there was just the one lavatory in everything be a big yard and about s  three lavatories for each passage  DORM: 2.56, DORM-UIDO:1.36,
120 interviewerTlsg06:  yes  DORM: 0.00, DORM-UIDO:0.00,
121 informantTlsg06a:  oh it was very [pause]  very awful  DORM: 2.53, DORM-UIDO:1.46,
122 interviewerTlsg06:  did you notice that sort of thing yourself when you were little you know i mean lots of people say  aye  DORM: 1.66, DORM-UIDO:1.17,
123 informantTlsg06a:  oh yes yes oh aye we used to because when we got on a bit we used to think oh we used to be frightened to let anybody know where we lived at the finish  DORM: 2.00, DORM-UIDO:1.50,
124 interviewerTlsg06:  aye yes ehm do you remember any of the like eh you know games you used to play or things  you used to do as a child  DORM: 2.73, DORM-UIDO:1.71,
125 informantTlsg06a:  oh aye  DORM: 0.00, DORM-UIDO:0.00,
126 interviewerTlsg06:  yes  DORM: 0.00, DORM-UIDO:0.00,
127 informantTlsg06c:  tell the truth  DORM: 0.38, DORM-UIDO:0.00,
128 informantTlsg06a:   DORM: nan, DORM-UIDO:nan,
129 interviewerTlsg06:   DORM: nan, DORM-UIDO:nan,
130 informantTlsg06a:  eeh aye we used to have to amuse ourselves there was no no things made for we then we used to play tredgy  DORM: 6.21, DORM-UIDO:1.36,
131 interviewerTlsg06:  yes how do you play that  DORM: 0.87, DORM-UIDO:0.27,
132 informantTlsg06a:  in the s  in the street with a kick the kick the block and we used to all run around get get around to the base  DORM: 1.74, DORM-UIDO:1.23,
133 interviewerTlsg06:  yeah  DORM: 0.00, DORM-UIDO:0.00,
134 informantTlsg06a:  aye we used to play in the street you ca  you couldn't gan anywhere else to play  DORM: 2.78, DORM-UIDO:1.97,
135 interviewerTlsg06:  yes i know yes do you think do you think the kids still play like in that way now like or  DORM: 1.35, DORM-UIDO:0.98,
136 informantTlsg06a:  eeh no they're all oh kids are awful now  DORM: 2.42, DORM-UIDO:0.63,
137 interviewerTlsg06:   yes  DORM: 0.00, DORM-UIDO:0.00,
138 informantTlsg06a:  you can't speak to them when they do anything  DORM: 1.01, DORM-UIDO:0.41,
139 interviewerTlsg06:  aye  DORM: 0.00, DORM-UIDO:0.00,
140 informantTlsg06a:  you get nothing but [unclear]  oh and the the language is terrible off some of them  DORM: 2.64, DORM-UIDO:2.04,
141 interviewerTlsg06:  aye  DORM: 0.00, DORM-UIDO:0.00,
142 informantTlsg06a:  get away  DORM: 0.00, DORM-UIDO:0.00,
143 interviewerTlsg06:  do you think they're really a lot worse behaved than they were  when you were young you know  DORM: 2.26, DORM-UIDO:1.41,
144 informantTlsg06a:  oh yes aye oh yes we had parents that kept we down  DORM: 1.78, DORM-UIDO:1.02,
145 interviewerTlsg06:  yes  DORM: 0.00, DORM-UIDO:0.00,
146 informantTlsg06a:  course they were none the better for that we found out when we got older but  DORM: 1.41, DORM-UIDO:0.90,
147 interviewerTlsg06:  mm [pause]  eh do you remember ehm what you used to call you know a game where one of the children has to chase the others to try to touch them  DORM: 2.88, DORM-UIDO:2.03,
148 informantTlsg06a:  oh aye  DORM: 0.00, DORM-UIDO:0.00,
149 interviewerTlsg06:  what did you used to call that  DORM: 0.50, DORM-UIDO:0.00,
150 informantTlsg06a:  relievo eh   DORM: 0.00, DORM-UIDO:0.00,
151 interviewerTlsg06:  no i was thinking of a simpler game than that  DORM: 2.47, DORM-UIDO:1.42,
152 informantTlsg06a:  ehm  DORM: 0.00, DORM-UIDO:0.00,
153 interviewerTlsg06:  you have to touch somebody and then when you've  touched them  DORM: 2.31, DORM-UIDO:1.41,
154 informantTlsg06a:  aye then you [unclear]  they were on  DORM: 2.22, DORM-UIDO:0.57,
155 interviewerTlsg06:  that's right  DORM: 0.88, DORM-UIDO:0.85,
156 informantTlsg06a:  aye i know i don't know what they what do you call that  DORM: 0.98, DORM-UIDO:0.07,
157 interviewerTlsg06:  i used to call tuggy i remember  DORM: 12.24, DORM-UIDO:3.34,
158 informantTlsg06a:  tag  DORM: 0.00, DORM-UIDO:0.00,
159 informantTlsg06c:  tiggy  DORM: 0.00, DORM-UIDO:0.00,
160 informantTlsg06a:  tag tag  DORM: 0.00, DORM-UIDO:0.00,
161 interviewerTlsg06:  tiggy aye did you yeah yeah and eh what did you used to say eh when you wanted to call a halt in a game you know when you wanted to stop a game or something did you used to cross your fingers and say  anything  DORM: 2.25, DORM-UIDO:1.28,
162 informantTlsg06b:  skinchers  DORM: 0.00, DORM-UIDO:0.00,
163 informantTlsg06a:  no we used to just say oh that's enough we've had enough  DORM: 1.24, DORM-UIDO:0.87,
164 interviewerTlsg06:  aye you didn't have a word for it  eh  DORM: 1.68, DORM-UIDO:0.25,
165 informantTlsg06b:  skinchers  DORM: 0.00, DORM-UIDO:0.00,
166 interviewerTlsg06:  that's what i used to say   DORM: 0.57, DORM-UIDO:0.00,
167 informantTlsg06b:  skinchers   DORM: 0.00, DORM-UIDO:0.00,
168 interviewerTlsg06:   eh still on the lines of what words you use for things like could you tell us please ehm just what you call each of the rooms of this house you know what your normal word is for each room  DORM: 2.26, DORM-UIDO:1.58,
169 informantTlsg06a:  no you just call it the bedroom and this was the kitchen  DORM: 1.67, DORM-UIDO:0.66,
170 interviewerTlsg06:  uhhuh  DORM: 0.00, DORM-UIDO:0.00,
171 informantTlsg06a:  and that were the scullery and that was the front room  DORM: 3.13, DORM-UIDO:1.18,
172 interviewerTlsg06:  aye that's right  DORM: 2.15, DORM-UIDO:0.55,
173 informantTlsg06a:  these offshots were the bedrooms  DORM: 13.05, DORM-UIDO:2.95,
174 interviewerTlsg06:  aye  DORM: 0.00, DORM-UIDO:0.00,
175 informantTlsg06a:  we had no sc  no sculleries like that [unclear]  where we lived  DORM: 9.30, DORM-UIDO:2.46,
176 interviewerTlsg06:  yes  DORM: 0.00, DORM-UIDO:0.00,
177 informantTlsg06a:  no sculleries at all and the water was outside  DORM: 11.48, DORM-UIDO:3.55,
178 interviewerTlsg06:  aye and what do you call the thing that you're in as soon as you come through the front door you know what do you call that  DORM: 1.46, DORM-UIDO:0.87,
179 informantTlsg06a:  well some of them you come in and you open up you come in the front door and you open a door there and you're straight into your room  DORM: 1.81, DORM-UIDO:1.42,
180 interviewerTlsg06:  aye but in this one you know where you've got  the [unclear]   DORM: 1.64, DORM-UIDO:0.32,
181 informantTlsg06a:  oh ahh just come straight in the kitchen that's the front room there the passage  DORM: 2.65, DORM-UIDO:2.16,
182 interviewerTlsg06:  the passage  DORM: 0.00, DORM-UIDO:0.00,
183 informantTlsg06a:  passage  DORM: 0.00, DORM-UIDO:0.00,
184 interviewerTlsg06:  uhhuh yeah and eh oh you happen to have one standing there what do you call that thing that's standing in front of the fire you know the sheet of tin that you use to get it going  DORM: 2.23, DORM-UIDO:1.11,
185 informantTlsg06a:  the blazer  DORM: 0.00, DORM-UIDO:0.00,
186 interviewerTlsg06:  mmhm yes yes ehm and eh to get out the back door you have to have to lift the  what do you call that  DORM: 3.11, DORM-UIDO:1.41,
187 informantTlsg06a:  the latch  DORM: 0.00, DORM-UIDO:0.00,
188 informantTlsg06c:  sneck  DORM: 0.00, DORM-UIDO:0.00,
189 interviewerTlsg06:  yes ta ehm[pause]  yes i call it the sneck as well  eh [pause]  can you tell us please just how you like to spend your spare time you know what sort of things you like to do  DORM: 8.28, DORM-UIDO:3.08,
190 informantTlsg06a:  well i cannot do very much now  DORM: 0.82, DORM-UIDO:0.04,
191 interviewerTlsg06:  aye  DORM: 0.00, DORM-UIDO:0.00,
192 informantTlsg06a:  but one time i used to [unclear]  to look after my house and that was all just the work and the house  DORM: 1.50, DORM-UIDO:0.91,
193 interviewerTlsg06:  aye  DORM: 0.00, DORM-UIDO:0.00,
194 informantTlsg06a:  always something to do  DORM: 1.60, DORM-UIDO:0.74,
195 interviewerTlsg06:  uhhuh  DORM: 0.00, DORM-UIDO:0.00,
196 informantTlsg06a:  sowing and knitting and one thing and another  DORM: 2.08, DORM-UIDO:0.38,
197 interviewerTlsg06:  aye  DORM: 0.00, DORM-UIDO:0.00,
198 informantTlsg06a:  plenty darning and all that to do  DORM: 4.97, DORM-UIDO:2.45,
199 interviewerTlsg06:  did you did yous used to enjoy that like you know  DORM: 2.85, DORM-UIDO:1.43,
200 informantTlsg06a:  oh yes uhhuh  DORM: 3.32, DORM-UIDO:3.31,
201 interviewerTlsg06:  wasn't wasn't really like work was it  DORM: 0.94, DORM-UIDO:0.44,
202 informantTlsg06a:  oh no it wasn't  DORM: 1.27, DORM-UIDO:0.50,
203 interviewerTlsg06:  yes  DORM: 0.00, DORM-UIDO:0.00,
204 informantTlsg06a:  you kept that for your for your when you had nothing else to do you used to keep your knitting and [unclear]  darning and all that  DORM: 3.01, DORM-UIDO:1.37,
205 interviewerTlsg06:  mmhm  DORM: 0.00, DORM-UIDO:0.00,
206 informantTlsg06a:  when you had nothing to do s  sitting down that's when you used to do that  DORM: 1.67, DORM-UIDO:1.17,
207 interviewerTlsg06:  yes eh do you eh  do you watch television very much  DORM: 1.96, DORM-UIDO:1.37,
208 informantTlsg06a:  oh yes i like my television  DORM: 1.57, DORM-UIDO:0.94,
209 interviewerTlsg06:  yes yeah do you watch it ehm you know is it usually on sort of the whole of a  of an evening or  DORM: 2.53, DORM-UIDO:1.34,
210 informantTlsg06a:  no eh from the from the news at six o clock  DORM: 2.87, DORM-UIDO:2.01,
211 interviewerTlsg06:  mm  DORM: 0.00, DORM-UIDO:0.00,
212 informantTlsg06a:  and if there's then an a good play on late late at night i watch that  DORM: 1.31, DORM-UIDO:0.99,
213 interviewerTlsg06:  yes  DORM: 0.00, DORM-UIDO:0.00,
214 informantTlsg06a:  and generally about one o clock when it finishes  DORM: 1.94, DORM-UIDO:0.99,
215 informantTlsg06c:  cannot drown the bugger out like  DORM: 2.36, DORM-UIDO:0.89,
216 interviewerTlsg06:   yeah  DORM: 0.00, DORM-UIDO:0.00,
217 informantTlsg06a:  eeh no when a when there's anybody in i must be watching the television i take no notice of the people that's saying  DORM: 2.13, DORM-UIDO:0.97,
218 interviewerTlsg06:  yes eh what eh what kinds of things do you like to watch particularly you know  [unclear]   DORM: 2.15, DORM-UIDO:1.55,
219 informantTlsg06a:  i like dramas  DORM: 2.97, DORM-UIDO:2.37,
220 interviewerTlsg06:  aye  DORM: 0.00, DORM-UIDO:0.00,
221 informantTlsg06a:  i like the dramas and cowboys  DORM: 2.18, DORM-UIDO:0.30,
222 interviewerTlsg06:  mmhm yes  DORM: 0.00, DORM-UIDO:0.00,
223 informantTlsg06a:  don't care nothing for the [pause]  [pause]  the what   DORM: 3.10, DORM-UIDO:1.93,
224 informantTlsg06c:  wrestling  DORM: 0.00, DORM-UIDO:0.00,
225 interviewerTlsg06:  oh aye yes  DORM: 0.02, DORM-UIDO:0.00,
226 informantTlsg06c:  [unclear]  oh the wrestling  DORM: 2.61, DORM-UIDO:0.80,
227 informantTlsg06a:  oh aye  [unclear]  i like the [unclear]   DORM: 3.61, DORM-UIDO:2.24,
228 informantTlsg06c:  mick mcmanus [unclear]   DORM: 0.12, DORM-UIDO:0.00,
229 informantTlsg06a:  oh i like it when he's getting a hiding   DORM: 1.00, DORM-UIDO:0.04,
230 interviewerTlsg06:   yes do you think the eh do you think the plays and that on television are very good you know do you think the standard of programmes is good  DORM: 1.46, DORM-UIDO:0.84,
231 informantTlsg06a:  well sometimes they're good but other times they're right off to they're just old ones any old play old films that they've used and they're just playing them back now  DORM: 1.51, DORM-UIDO:1.25,
232 interviewerTlsg06:  aye yes that's true  DORM: 2.79, DORM-UIDO:1.67,
233 informantTlsg06a:  and i've seen the pictures of them  DORM: 1.30, DORM-UIDO:0.40,
234 interviewerTlsg06:  what you saw them all when they were in the picture  houses  DORM: 2.03, DORM-UIDO:1.37,
235 informantTlsg06a:  uhhuh it's back up here  DORM: 3.17, DORM-UIDO:0.31,
236 interviewerTlsg06:  yes   DORM: 0.00, DORM-UIDO:0.00,
237 informantTlsg06a:  picture hall  DORM: 0.00, DORM-UIDO:0.00,
238 interviewerTlsg06:  eh [pause]  these are just a few questions about your opinions on some eh ordinary things eh what do you think that eh parents should do when their children misbehave you know how do you think they should check them  DORM: 2.48, DORM-UIDO:1.50,
239 informantTlsg06a:  well i think their parents should check them  DORM: 1.32, DORM-UIDO:0.75,
240 interviewerTlsg06:  yes  DORM: 0.00, DORM-UIDO:0.00,
241 informantTlsg06a:  but if they don't check them well they'll have to smack them  DORM: 1.79, DORM-UIDO:0.65,
242 interviewerTlsg06:  yes  DORM: 0.00, DORM-UIDO:0.00,
243 informantTlsg06a:  i believe in smacking kids when they're not well when they're not doing as they're told  DORM: 2.12, DORM-UIDO:0.96,
244 interviewerTlsg06:  aye that's yes if you can't get them to do what they're told you smack them  DORM: 1.84, DORM-UIDO:0.64,
245 informantTlsg06a:  if you can't do that well i think you have to threaten them and if that's no good well that's hopeless  DORM: 1.66, DORM-UIDO:0.68,
246 interviewerTlsg06:  yeah  DORM: 0.00, DORM-UIDO:0.00,
247 informantTlsg06a:  we've got a few down here like that  DORM: 1.11, DORM-UIDO:0.65,
248 interviewerTlsg06:  mm  DORM: 0.00, DORM-UIDO:0.00,
249 informantTlsg06a:  eeh they're terrible well it's a wonder some of them's not killed they play on the middle of the roads and the mother's sitting standing talking watching them never say [unclear]  anymore  DORM: 3.02, DORM-UIDO:2.00,
250 interviewerTlsg06:  yes and what about eh you know a young person of say sixteen or so what sort of control their parents should have over them  DORM: 1.72, DORM-UIDO:1.21,
251 informantTlsg06a:  eeh well th  if they'll have a job to control them  DORM: 2.74, DORM-UIDO:1.16,
252 interviewerTlsg06:  yes  DORM: 0.00, DORM-UIDO:0.00,
253 informantTlsg06a:  it's n  you cannot do nothing with them  DORM: 1.22, DORM-UIDO:0.53,
254 interviewerTlsg06:  yes  DORM: 0.00, DORM-UIDO:0.00,
255 informantTlsg06a:  you can't do nothing with them  DORM: 0.87, DORM-UIDO:0.38,
256 interviewerTlsg06:  yes do you think they should try to control them you know do you think they should  DORM: 0.93, DORM-UIDO:0.59,
257 informantTlsg06a:  well i think their parents is encouraging  DORM: 1.22, DORM-UIDO:0.21,
258 interviewerTlsg06:  aye  DORM: 0.00, DORM-UIDO:0.00,
259 informantTlsg06a:  they give them the key of the door if they're going out and then leave them  DORM: 1.64, DORM-UIDO:1.23,
260 interviewerTlsg06:  yeah  DORM: 0.00, DORM-UIDO:0.00,
261 informantTlsg06a:  there's a house at lobley it's terrible one of their young daughters is pregnant and the other one's fleeing along after lads all the time  DORM: 6.97, DORM-UIDO:2.63,
262 interviewerTlsg06:  yes [pause]  ehm going on to something different like and it is ehm a question you don't have to answer if you don't want because some people don't ehm which way do you vote  DORM: 3.09, DORM-UIDO:1.42,
263 informantTlsg06a:  well i vote tory now  DORM: 2.80, DORM-UIDO:1.30,
264 interviewerTlsg06:  do you  DORM: 0.00, DORM-UIDO:0.00,
265 informantTlsg06a:  uhhuh but i used to vote labour  DORM: 3.38, DORM-UIDO:1.17,
266 interviewerTlsg06:  aye what was it that changed your mind  DORM: 2.04, DORM-UIDO:0.88,
267 informantTlsg06a:  well the way they're all going on the labour was giving too much away they're giving everything away they're you know as much money to everybody went on strike oh give them the money and that'll settle them  DORM: 2.48, DORM-UIDO:1.74,
